domain,google_indexed,archive_api_url
detectfraud.com,1,http://web.archive.org/cdx/search/cdx?url=detectfraud.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
rosedog.com,1,http://web.archive.org/cdx/search/cdx?url=rosedog.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
checksitetraffic.com,1,http://web.archive.org/cdx/search/cdx?url=checksitetraffic.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
plainlinks.com,1,http://web.archive.org/cdx/search/cdx?url=plainlinks.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
loomhost.com,1,http://web.archive.org/cdx/search/cdx?url=loomhost.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
artsfestival.net,1,http://web.archive.org/cdx/search/cdx?url=artsfestival.netoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
eaglesoars-marketing.com,1,http://web.archive.org/cdx/search/cdx?url=eaglesoars-marketing.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
suseblog.com,0,http://web.archive.org/cdx/search/cdx?url=suseblog.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
egomedia.com,1,http://web.archive.org/cdx/search/cdx?url=egomedia.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
giant.net,1,http://web.archive.org/cdx/search/cdx?url=giant.netoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
kyrgyzstan.org,1,http://web.archive.org/cdx/search/cdx?url=kyrgyzstan.orgoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
igxy.com,1,http://web.archive.org/cdx/search/cdx?url=igxy.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
seoq.com,1,http://web.archive.org/cdx/search/cdx?url=seoq.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
worldwarzmovie.com,1,http://web.archive.org/cdx/search/cdx?url=worldwarzmovie.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
mantel.com,1,http://web.archive.org/cdx/search/cdx?url=mantel.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
notfadeawaymovie.com,1,http://web.archive.org/cdx/search/cdx?url=notfadeawaymovie.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
money1.ca,1,http://web.archive.org/cdx/search/cdx?url=money1.caoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
supernovatube.com,1,http://web.archive.org/cdx/search/cdx?url=supernovatube.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
bcrab.com,1,http://web.archive.org/cdx/search/cdx?url=bcrab.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
winpwn.com,1,http://web.archive.org/cdx/search/cdx?url=winpwn.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
lazzeo.com,1,http://web.archive.org/cdx/search/cdx?url=lazzeo.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
idreamofcake.com,1,http://web.archive.org/cdx/search/cdx?url=idreamofcake.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
sexulslab.info,1,http://web.archive.org/cdx/search/cdx?url=sexulslab.infooutput=json&limit=1&fastLatest=true&filter=!statuscode:200
cafecubano.com,1,http://web.archive.org/cdx/search/cdx?url=cafecubano.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
jewelrydiscount.net,1,http://web.archive.org/cdx/search/cdx?url=jewelrydiscount.netoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
wordans.ca,1,http://web.archive.org/cdx/search/cdx?url=wordans.caoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
mystory.me,1,http://web.archive.org/cdx/search/cdx?url=mystory.meoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
russia.net,1,http://web.archive.org/cdx/search/cdx?url=russia.netoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
contentmarketingexperience.com,1,http://web.archive.org/cdx/search/cdx?url=contentmarketingexperience.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
shoutfile.com,1,http://web.archive.org/cdx/search/cdx?url=shoutfile.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
pettags.com,1,http://web.archive.org/cdx/search/cdx?url=pettags.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
